,Top Stories,US election,Analysis,Features,More Top Stories,Climate,Podcasts,Sky Sports,Around Sky,Most Read
0,BBC reveals highest-paid stars - including former newsreader Huw Edwards despite being off-air 'https://news.sky.com/story/bbc-reveals-highest-paid-stars-including-former-newsreader-huw-edwards-despite-being-off-air-13183613',Who could Kamala Harris choose as the Democratic vice presidential candidate? 'https://news.sky.com/story/who-will-be-the-democratic-vice-presidential-candidate-13183232',Former prosecutor v convicted criminal - Harris brings new energy to presidential race like no other 'https://news.sky.com/story/former-prosecutor-v-convicted-criminal-kamala-harris-brings-new-energy-to-presidential-race-like-no-other-13183580',The standout athletes to keep a particularly close eye on at the Olympics 'https://news.sky.com/story/the-standout-athletes-to-keep-a-particularly-close-eye-on-at-the-olympics-13179255',Girl seriously injured after attack by XL bully 'https://news.sky.com/story/girl-10-left-seriously-injured-after-attack-by-unregistered-xl-bully-in-south-yorkshire-13183604',Four water firms 'responsible for 90% of serious pollution incidents' 'https://news.sky.com/story/sewage-crisis-four-water-firms-responsible-for-90-of-serious-pollution-incidents-13183602',Tale of two leadership contests 'https://news.sky.com/story/tale-of-two-leadership-contests-13183601',Brundle: What conflicted Norris should've done – and angry Max shouldn't 'https://www.skysports.com/share/13183291',The Open live on Sky Sports.  Get Sky Sports for £22 extra a month and watch all 4 days of The Open exclusively live 'https://www.sky.com/shop/tv/sports/?dcmp=dmc-skycom:na_news_sscom_gss_shop_skynews',
1,'The line should never be crossed': BBC boss addresses Strictly scandal 'https://news.sky.com/story/strictly-come-dancing-the-line-should-never-be-crossed-says-bbc-boss-tim-davie-13183622',What bookies say about Harris's chance of becoming president 'https://news.sky.com/story/betting-data-shows-harriss-chances-are-on-the-up-but-trump-is-still-leading-13183383',Obama is calling for an open contest - why has he not endorsed Harris? 'https://news.sky.com/story/barack-obama-isnt-cheerleading-kamala-harris-he-looks-to-be-calling-for-an-open-contest-13183152',Other US presidents who decided against second term - and those who suffered much more abrupt ends 'https://news.sky.com/story/other-us-presidents-who-decided-against-second-term-and-those-who-suffered-much-more-abrupt-ends-13183026',Tom Daley shows off cardboard beds in Paris Olympic village 'https://news.sky.com/story/tom-daley-shows-off-cardboard-beds-in-paris-olympic-village-13183654',Tom Daley shows off cardboard beds in Paris Olympic village 'https://news.sky.com/story/tom-daley-shows-off-cardboard-beds-in-paris-olympic-village-13183654',How will Kamala Harris take on Trump? 'https://news.sky.com/story/how-will-kamala-harris-take-on-trump-13183323',PSG interested in signing Sancho 'https://www.skysports.com/share/13183669',Sky Cinema brings you two free Vue tickets every month so you can enjoy movies like The Fall Guy on us. Head to the My Sky app to claim your codes 'https://www.sky.com/shop/tv/cinema?dcmp=bac-SS.com_AroundSky_Homepage_SkyCinemaUpgradeC',
2,Two women arrested as Tube 'stabbing' leaves man in life-threatening condition 'https://news.sky.com/story/two-women-arrested-after-man-stabbed-at-london-underground-station-13183585',What has Joe Biden done during his time as president? 'https://news.sky.com/story/what-has-joe-biden-done-during-his-time-as-president-13183321',Biden made fighting authoritarian states a top priority - US allies will miss him as they fear a second Trump era 'https://news.sky.com/story/joe-biden-made-fighting-authoritarian-states-a-top-priority-us-allies-will-miss-him-as-they-fear-a-second-trump-era-13183176','I set up my business with £200 and went on Dragons' Den - now it's worth £1.5m' 'https://news.sky.com/story/i-set-up-my-business-with-200-and-went-on-dragons-den-now-its-worth-1-5m-13179448',Fears of retirement crisis resurface as number saving enough collapses 'https://news.sky.com/story/pension-problem-fears-of-retirement-crisis-resurface-as-numbers-saving-enough-collapses-13183644',Labour told to 'take on net zero nimbys' to help lower bills 'https://news.sky.com/story/labour-told-to-take-on-net-zero-nimbys-to-help-lower-bills-13183190',Biden quits US presidential race - what happens next? 'https://news.sky.com/story/biden-quits-us-presidential-race-what-happens-next-13183114',Murray to retire after Paris Olympics: 'Proud to do it one last time' 'https://www.skysports.com/share/13183611',Stream world-class sport on NOW for just £34.99 a month without a contract on NOW for all 11 Sky Sports channels. 'https://www.nowtv.com/watch-sky-sports-online?dcmp=ilc_SSNTV_skynews_aroundsky_GSS_pass',
3,How the sending of one photo led an 11-year-old girl to become a victim of physical sex abuse 'https://news.sky.com/story/how-the-sending-of-one-photo-led-an-11-year-old-girl-to-become-a-victim-of-physical-sex-abuse-13183282',"Betrayed, isolated and angry: Inside Biden's historic decision 'https://news.sky.com/story/inside-bidens-historic-decision-to-drop-out-of-the-2024-race-13183126'",Biden wants to pass the baton to Harris to take on Trump - but it's complicated 'https://news.sky.com/story/kamala-harris-emerges-as-democratic-frontrunner-to-take-on-donald-trump-13183100',,End date set for sending under-18s to young offenders institutions 'https://news.sky.com/story/end-date-set-for-sending-under-18s-in-scotland-to-young-offenders-institutions-13183698',Anti-whaling activist arrested in Greenland and may be extradited to Japan 'https://news.sky.com/story/anti-whaling-activist-paul-watson-arrested-in-greenland-and-may-be-extradited-to-japan-13183157',Starmer reacts to Biden quitting 'https://news.sky.com/story/starmer-reacts-to-biden-quitting-13183112',"Transfer Centre LIVE! Calafiori, De Bruyne, Sancho latest 'https://www.skysports.com/share/12476234'",,
4,Pollster makes Harris prediction - as she tells supporters 'I know Trump's type' 'https://news.sky.com/story/joe-biden-drops-out-kamala-harris-democrats-donald-trump-latest-live-sky-news-blog-13177655',Would Michelle Obama run? 'https://news.sky.com/story/michelle-obama-speculation-that-former-first-lady-could-defeat-donald-trump-but-would-she-run-13183171',,,Sharks from Atlantic Ocean test positive for cocaine 'https://news.sky.com/story/sharks-off-brazil-coast-test-positive-for-cocaine-13183543',Galloway chosen as preferred location of next national park 'https://news.sky.com/story/galloway-chosen-as-preferred-location-of-scotlands-third-national-park-13183234',,,,
5,Clapham chemical attacker was dead within hours of incident despite police hunt lasting weeks 'https://news.sky.com/story/clapham-chemical-attacker-was-dead-within-hours-of-incident-despite-police-hunt-lasting-weeks-13183636',"Ukraine, abortion and guns: Where is Harris on key issues? 'https://news.sky.com/story/ukraine-abortion-and-guns-where-does-kamala-harris-stand-on-key-issues-13183151'",,,Keir Starmer faces rebellion as MPs set to vote on ending two-child benefit cap 'https://news.sky.com/story/kings-speech-labour-keir-starmer-latest-live-12593360',Five 'fanatic' Just Stop Oil protesters jailed for plot to block M25 'https://news.sky.com/story/just-stop-oil-co-founder-among-five-protesters-jailed-for-m25-disruption-13179407',,,,
6,Classic chocolate bar to return to UK shelves one last time | Money 'https://news.sky.com/story/money-mortgage-interest-rates-inflation-consumer-finance-skynews-latest-blog-13040934',Why some hope Biden's withdrawal from election race could lead to him being removed from office 'https://news.sky.com/story/republicans-want-joe-biden-to-quit-now-can-he-be-forced-to-leave-13183138',,,England striker announces engagement 'https://news.sky.com/story/england-striker-ollie-watkins-announces-engagement-13183688',Smart meter giant Utilita eyes capital-raise to fund net zero ambition 'https://news.sky.com/story/smart-meter-giant-utilita-eyes-capital-raise-to-fund-net-zero-ambition-13182711',,,,
7,Preacher Anjem Choudary facing life in jail after being found guilty of directing terrorism 'https://news.sky.com/story/anjem-choudary-facing-life-in-jail-after-being-found-guilty-of-directing-terrorism-13183583',Republicans call for Biden to resign now - as Trump responds to his race exit 'https://news.sky.com/story/donald-trump-calls-joe-biden-the-worst-president-in-the-history-of-the-united-states-13182993',,,"Girl, 11, dies in holiday hotel balcony fall 'https://news.sky.com/story/tributes-to-spirited-irish-girl-who-died-after-falling-from-hotel-balcony-in-majorca-13183625'",Intensive work needed to avoid 'unjust' transition when Scotland's only oil refinery 'likely' closes - report 'https://news.sky.com/story/intensive-work-needed-to-avoid-unjust-transition-at-grangemouth-oil-refinery-report-warns-13180200',,,,
8,"Woman , 27, with ME 'died after begging GP for help' 'https://news.sky.com/story/woman-with-me-died-after-begging-gp-for-help-inquest-told-13183530'",Barack Obama stops short of backing Kamala Harris 'https://news.sky.com/story/as-obama-stops-short-of-backing-kamala-harris-whos-throwing-their-weight-behind-vice-president-13183018',,,Former Little Mix star shares urgent appeal for missing niece 'https://news.sky.com/story/leigh-anne-pinnock-former-little-mix-star-shares-urgent-appeal-to-find-missing-niece-13183619',Climate advisers upbeat despite UK being off track on most key targets 'https://news.sky.com/story/undo-last-governments-climate-policy-rollbacks-to-lower-peoples-bills-top-advisers-say-13179299',,,,
9,Murray to retire as he says Olympics 'last ever tennis tournament' 'https://news.sky.com/story/andy-murray-says-paris-olympics-will-be-his-last-ever-tennis-tournament-13183582',Who could challenge Harris in race to replace Biden? 'https://news.sky.com/story/as-joe-biden-steps-aside-who-will-replace-him-13182969',,,Bullet hole could be proof of Bonnie Prince Charlie assassination attempt 'https://news.sky.com/story/bullet-hole-could-be-proof-of-bonnie-prince-charlie-assassination-attempt-13183668',Rare video of uncontacted tribe shows members emerging from Amazon rainforest amid 'humanitarian disaster' 'https://news.sky.com/story/mascho-piro-rare-photos-of-uncontacted-tribe-show-it-faces-humanitarian-disaster-rights-group-warns-13179275',,,,
